event_id,code,horizon,signal_date,fill_date,fill_type,trigger_return,fill_price,sold_fraction,remaining_fraction_after_fill,fill_return
000733:b1_staged:4:20260616,000733,4,2026-06-16,2026-06-18,take_profit,0.05,59.157000000000004,0.3333333333333333,0.6666666666666667,0.050000000000000044
000733:b1_staged:4:20260616,000733,4,2026-06-16,2026-06-23,expiry,-0.0035498757543486192,56.14,0.6666666666666667,0.0,-0.0035498757543486192
000733:b1_staged:5:20260616,000733,5,2026-06-16,2026-06-18,take_profit,0.05,59.157000000000004,0.3333333333333333,0.6666666666666667,0.050000000000000044
000733:b1_staged:5:20260616,000733,5,2026-06-16,2026-06-24,expiry,0.009939652112175956,56.9,0.6666666666666667,0.0,0.009939652112175956
000988:b1_staged:1:20260603,000988,1,2026-06-03,2026-06-04,expiry,0.025714100654187666,158.36,1.0,0.0,0.025714100654187666
000988:b1_staged:2:20260603,000988,2,2026-06-03,2026-06-05,take_profit,0.05,162.1095,0.3333333333333333,0.6666666666666667,0.050000000000000044
000988:b1_staged:2:20260603,000988,2,2026-06-03,2026-06-05,expiry,0.01820066066455084,157.2,0.6666666666666667,0.0,0.01820066066455084
000988:b1_staged:3:20260603,000988,3,2026-06-03,2026-06-05,take_profit,0.05,162.1095,0.3333333333333333,0.6666666666666667,0.050000000000000044
000988:b1_staged:3:20260603,000988,3,2026-06-03,2026-06-08,stop_loss,-0.05,146.67049999999998,0.6666666666666667,0.0,-0.050000000000000044
000988:b1_staged:4:20260603,000988,4,2026-06-03,2026-06-05,take_profit,0.05,162.1095,0.3333333333333333,0.6666666666666667,0.050000000000000044
000988:b1_staged:4:20260603,000988,4,2026-06-03,2026-06-08,stop_loss,-0.05,146.67049999999998,0.6666666666666667,0.0,-0.050000000000000044
000988:b1_staged:5:20260603,000988,5,2026-06-03,2026-06-05,take_profit,0.05,162.1095,0.3333333333333333,0.6666666666666667,0.050000000000000044
000988:b1_staged:5:20260603,000988,5,2026-06-03,2026-06-08,stop_loss,-0.05,146.67049999999998,0.6666666666666667,0.0,-0.050000000000000044
002008:b1_staged:1:20260604,002008,1,2026-06-04,2026-06-05,stop_loss,-0.05,127.9175,1.0,0.0,-0.050000000000000044
002008:b1_staged:2:20260604,002008,2,2026-06-04,2026-06-05,stop_loss,-0.05,127.9175,1.0,0.0,-0.050000000000000044
002008:b1_staged:3:20260604,002008,3,2026-06-04,2026-06-05,stop_loss,-0.05,127.9175,1.0,0.0,-0.050000000000000044
002008:b1_staged:4:20260604,002008,4,2026-06-04,2026-06-05,stop_loss,-0.05,127.9175,1.0,0.0,-0.050000000000000044
002008:b1_staged:5:20260604,002008,5,2026-06-04,2026-06-05,stop_loss,-0.05,127.9175,1.0,0.0,-0.050000000000000044
002134:b1_staged:1:20260609,002134,1,2026-06-09,2026-06-10,expiry,-0.01504022385449455,28.16,1.0,0.0,-0.01504022385449455
002134:b1_staged:2:20260609,002134,2,2026-06-09,2026-06-11,expiry,-0.005596362364463148,28.43,1.0,0.0,-0.005596362364463148
002134:b1_staged:3:20260609,002134,3,2026-06-09,2026-06-12,expiry,-0.02238544945785237,27.95,1.0,0.0,-0.02238544945785237
002134:b1_staged:4:20260609,002134,4,2026-06-09,2026-06-15,expiry,0.01958726827562085,29.15,1.0,0.0,0.01958726827562085
002134:b1_staged:5:20260609,002134,5,2026-06-09,2026-06-16,expiry,0.01364113326337879,28.98,1.0,0.0,0.01364113326337879
002156:b1_staged:1:20260616,002156,1,2026-06-16,2026-06-17,take_profit,0.05,66.0765,0.3333333333333333,0.6666666666666667,0.050000000000000044
002156:b1_staged:1:20260616,002156,1,2026-06-16,2026-06-17,expiry,0.06817098363260765,67.22,0.6666666666666667,0.0,0.06817098363260765
002156:b1_staged:2:20260616,002156,2,2026-06-16,2026-06-17,take_profit,0.05,66.0765,0.3333333333333333,0.6666666666666667,0.050000000000000044
002156:b1_staged:2:20260616,002156,2,2026-06-16,2026-06-18,take_profit,0.1,69.223,0.3333333333333333,0.3333333333333334,0.10000000000000009
002156:b1_staged:2:20260616,002156,2,2026-06-16,2026-06-18,expiry,0.08485618941681228,68.27,0.3333333333333334,0.0,0.08485618941681228
002156:b1_staged:3:20260616,002156,3,2026-06-16,2026-06-17,take_profit,0.05,66.0765,0.3333333333333333,0.6666666666666667,0.050000000000000044
002156:b1_staged:3:20260616,002156,3,2026-06-16,2026-06-18,take_profit,0.1,69.223,0.3333333333333333,0.3333333333333334,0.10000000000000009
002156:b1_staged:3:20260616,002156,3,2026-06-16,2026-06-22,expiry,0.13221039249960276,71.25,0.3333333333333334,0.0,0.13221039249960276
002156:b1_staged:4:20260616,002156,4,2026-06-16,2026-06-17,take_profit,0.05,66.0765,0.3333333333333333,0.6666666666666667,0.050000000000000044
002156:b1_staged:4:20260616,002156,4,2026-06-16,2026-06-18,take_profit,0.1,69.223,0.3333333333333333,0.3333333333333334,0.10000000000000009
002156:b1_staged:4:20260616,002156,4,2026-06-16,2026-06-23,expiry,0.08723979024312722,68.42,0.3333333333333334,0.0,0.08723979024312722
002156:b1_staged:5:20260616,002156,5,2026-06-16,2026-06-17,take_profit,0.05,66.0765,0.3333333333333333,0.6666666666666667,0.050000000000000044
002156:b1_staged:5:20260616,002156,5,2026-06-16,2026-06-18,take_profit,0.1,69.223,0.3333333333333333,0.3333333333333334,0.10000000000000009
002156:b1_staged:5:20260616,002156,5,2026-06-16,2026-06-24,take_profit,0.15,72.36949999999999,0.3333333333333334,0.0,0.1499999999999999
002185:b1_staged:1:20260616,002185,1,2026-06-16,2026-06-17,take_profit,0.05,18.711000000000002,0.3333333333333333,0.6666666666666667,0.050000000000000044
002185:b1_staged:1:20260616,002185,1,2026-06-16,2026-06-17,expiry,0.06902356902356899,19.05,0.6666666666666667,0.0,0.06902356902356899
002185:b1_staged:2:20260616,002185,2,2026-06-16,2026-06-17,take_profit,0.05,18.711000000000002,0.3333333333333333,0.6666666666666667,0.050000000000000044
002185:b1_staged:2:20260616,002185,2,2026-06-16,2026-06-18,take_profit,0.1,19.602,0.3333333333333333,0.3333333333333334,0.10000000000000009
002185:b1_staged:2:20260616,002185,2,2026-06-16,2026-06-18,expiry,0.10044893378226716,19.61,0.3333333333333334,0.0,0.10044893378226716
