event_id,code,horizon,signal_date,fill_date,fill_type,trigger_return,fill_price,sold_fraction,remaining_fraction_after_fill,fill_return
600460:b1_staged:1:20260615,600460,1,2026-06-15,2026-06-16,take_profit,0.1,38.907000000000004,0.3333333333333333,0.3333333333333334,0.10000000000000009
600460:b1_staged:1:20260615,600460,1,2026-06-15,2026-06-16,expiry,0.08227311280746408,38.28,0.3333333333333334,0.0,0.08227311280746408
600460:b1_staged:2:20260615,600460,2,2026-06-15,2026-06-16,take_profit,0.05,37.1385,0.3333333333333333,0.6666666666666667,0.050000000000000044
600460:b1_staged:2:20260615,600460,2,2026-06-15,2026-06-16,take_profit,0.1,38.907000000000004,0.3333333333333333,0.3333333333333334,0.10000000000000009
600460:b1_staged:2:20260615,600460,2,2026-06-15,2026-06-17,take_profit,0.15,40.67549999999999,0.3333333333333334,0.0,0.1499999999999999
600460:b1_staged:3:20260615,600460,3,2026-06-15,2026-06-16,take_profit,0.05,37.1385,0.3333333333333333,0.6666666666666667,0.050000000000000044
600460:b1_staged:3:20260615,600460,3,2026-06-15,2026-06-16,take_profit,0.1,38.907000000000004,0.3333333333333333,0.3333333333333334,0.10000000000000009
600460:b1_staged:3:20260615,600460,3,2026-06-15,2026-06-17,take_profit,0.15,40.67549999999999,0.3333333333333334,0.0,0.1499999999999999
600460:b1_staged:4:20260615,600460,4,2026-06-15,2026-06-16,take_profit,0.05,37.1385,0.3333333333333333,0.6666666666666667,0.050000000000000044
600460:b1_staged:4:20260615,600460,4,2026-06-15,2026-06-16,take_profit,0.1,38.907000000000004,0.3333333333333333,0.3333333333333334,0.10000000000000009
600460:b1_staged:4:20260615,600460,4,2026-06-15,2026-06-17,take_profit,0.15,40.67549999999999,0.3333333333333334,0.0,0.1499999999999999
600460:b1_staged:5:20260615,600460,5,2026-06-15,2026-06-16,take_profit,0.05,37.1385,0.3333333333333333,0.6666666666666667,0.050000000000000044
600460:b1_staged:5:20260615,600460,5,2026-06-15,2026-06-16,take_profit,0.1,38.907000000000004,0.3333333333333333,0.3333333333333334,0.10000000000000009
600460:b1_staged:5:20260615,600460,5,2026-06-15,2026-06-17,take_profit,0.15,40.67549999999999,0.3333333333333334,0.0,0.1499999999999999
600460:b1_staged:1:20260709,600460,1,2026-07-09,2026-07-10,stop_loss,-0.05,45.98,1.0,0.0,-0.050000000000000044
600460:b1_staged:2:20260709,600460,2,2026-07-09,2026-07-10,stop_loss,-0.05,45.98,1.0,0.0,-0.050000000000000044
600460:b1_staged:3:20260709,600460,3,2026-07-09,2026-07-10,stop_loss,-0.05,45.98,1.0,0.0,-0.050000000000000044
600460:b1_staged:4:20260709,600460,4,2026-07-09,2026-07-10,stop_loss,-0.05,45.98,1.0,0.0,-0.050000000000000044
600584:b1_staged:1:20260615,600584,1,2026-06-15,2026-06-16,take_profit,0.05,78.036,0.3333333333333333,0.6666666666666667,0.050000000000000044
600584:b1_staged:1:20260615,600584,1,2026-06-15,2026-06-16,expiry,0.03511840688912837,76.93,0.6666666666666667,0.0,0.03511840688912837
600584:b1_staged:2:20260615,600584,2,2026-06-15,2026-06-16,take_profit,0.05,78.036,0.3333333333333333,0.6666666666666667,0.050000000000000044
600584:b1_staged:2:20260615,600584,2,2026-06-15,2026-06-17,take_profit,0.1,81.752,0.3333333333333333,0.3333333333333334,0.10000000000000009
600584:b1_staged:2:20260615,600584,2,2026-06-15,2026-06-17,expiry,0.1001076426264802,81.76,0.3333333333333334,0.0,0.1001076426264802
600584:b1_staged:3:20260615,600584,3,2026-06-15,2026-06-16,take_profit,0.05,78.036,0.3333333333333333,0.6666666666666667,0.050000000000000044
600584:b1_staged:3:20260615,600584,3,2026-06-15,2026-06-17,take_profit,0.1,81.752,0.3333333333333333,0.3333333333333334,0.10000000000000009
600584:b1_staged:3:20260615,600584,3,2026-06-15,2026-06-18,take_profit,0.15,85.46799999999999,0.3333333333333334,0.0,0.1499999999999999
600584:b1_staged:4:20260615,600584,4,2026-06-15,2026-06-16,take_profit,0.05,78.036,0.3333333333333333,0.6666666666666667,0.050000000000000044
600584:b1_staged:4:20260615,600584,4,2026-06-15,2026-06-17,take_profit,0.1,81.752,0.3333333333333333,0.3333333333333334,0.10000000000000009
600584:b1_staged:4:20260615,600584,4,2026-06-15,2026-06-18,take_profit,0.15,85.46799999999999,0.3333333333333334,0.0,0.1499999999999999
600584:b1_staged:5:20260615,600584,5,2026-06-15,2026-06-16,take_profit,0.05,78.036,0.3333333333333333,0.6666666666666667,0.050000000000000044
600584:b1_staged:5:20260615,600584,5,2026-06-15,2026-06-17,take_profit,0.1,81.752,0.3333333333333333,0.3333333333333334,0.10000000000000009
600584:b1_staged:5:20260615,600584,5,2026-06-15,2026-06-18,take_profit,0.15,85.46799999999999,0.3333333333333334,0.0,0.1499999999999999
600601:b1_staged:1:20260612,600601,1,2026-06-12,2026-06-15,expiry,0.04344453064390996,13.45,1.0,0.0,0.04344453064390996
600601:b1_staged:2:20260612,600601,2,2026-06-12,2026-06-16,take_profit,0.05,13.534500000000001,0.3333333333333333,0.6666666666666667,0.050000000000000044
600601:b1_staged:2:20260612,600601,2,2026-06-12,2026-06-16,take_profit,0.1,14.179000000000002,0.3333333333333333,0.3333333333333334,0.10000000000000009
600601:b1_staged:2:20260612,600601,2,2026-06-12,2026-06-16,expiry,0.09387121799844844,14.1,0.3333333333333334,0.0,0.09387121799844844
600601:b1_staged:3:20260612,600601,3,2026-06-12,2026-06-16,take_profit,0.05,13.534500000000001,0.3333333333333333,0.6666666666666667,0.050000000000000044
600601:b1_staged:3:20260612,600601,3,2026-06-12,2026-06-16,take_profit,0.1,14.179000000000002,0.3333333333333333,0.3333333333333334,0.10000000000000009
600601:b1_staged:3:20260612,600601,3,2026-06-12,2026-06-17,take_profit,0.15,14.8235,0.3333333333333334,0.0,0.1499999999999999
600601:b1_staged:4:20260612,600601,4,2026-06-12,2026-06-16,take_profit,0.05,13.534500000000001,0.3333333333333333,0.6666666666666667,0.050000000000000044
600601:b1_staged:4:20260612,600601,4,2026-06-12,2026-06-16,take_profit,0.1,14.179000000000002,0.3333333333333333,0.3333333333333334,0.10000000000000009
600601:b1_staged:4:20260612,600601,4,2026-06-12,2026-06-17,take_profit,0.15,14.8235,0.3333333333333334,0.0,0.1499999999999999
600601:b1_staged:5:20260612,600601,5,2026-06-12,2026-06-16,take_profit,0.05,13.534500000000001,0.3333333333333333,0.6666666666666667,0.050000000000000044
600601:b1_staged:5:20260612,600601,5,2026-06-12,2026-06-16,take_profit,0.1,14.179000000000002,0.3333333333333333,0.3333333333333334,0.10000000000000009
600601:b1_staged:5:20260612,600601,5,2026-06-12,2026-06-17,take_profit,0.15,14.8235,0.3333333333333334,0.0,0.1499999999999999
600707:b1_staged:1:20260604,600707,1,2026-06-04,2026-06-05,stop_loss,-0.05,10.402499999999998,1.0,0.0,-0.050000000000000155
600707:b1_staged:2:20260604,600707,2,2026-06-04,2026-06-05,stop_loss,-0.05,10.402499999999998,1.0,0.0,-0.050000000000000155
600707:b1_staged:3:20260604,600707,3,2026-06-04,2026-06-05,stop_loss,-0.05,10.402499999999998,1.0,0.0,-0.050000000000000155
600707:b1_staged:4:20260604,600707,4,2026-06-04,2026-06-05,stop_loss,-0.05,10.402499999999998,1.0,0.0,-0.050000000000000155
600707:b1_staged:5:20260604,600707,5,2026-06-04,2026-06-05,stop_loss,-0.05,10.402499999999998,1.0,0.0,-0.050000000000000155
600707:b1_staged:1:20260616,600707,1,2026-06-16,2026-06-17,take_profit,0.05,12.0855,0.3333333333333333,0.6666666666666667,0.050000000000000044
600707:b1_staged:1:20260616,600707,1,2026-06-16,2026-06-17,expiry,0.09991311902693312,12.66,0.6666666666666667,0.0,0.09991311902693312
600707:b1_staged:2:20260616,600707,2,2026-06-16,2026-06-17,take_profit,0.05,12.0855,0.3333333333333333,0.6666666666666667,0.050000000000000044
600707:b1_staged:2:20260616,600707,2,2026-06-16,2026-06-18,expiry,0.017376194613379692,11.71,0.6666666666666667,0.0,0.017376194613379692
600707:b1_staged:3:20260616,600707,3,2026-06-16,2026-06-17,take_profit,0.05,12.0855,0.3333333333333333,0.6666666666666667,0.050000000000000044
600707:b1_staged:3:20260616,600707,3,2026-06-16,2026-06-22,take_profit,0.1,12.661000000000001,0.3333333333333333,0.3333333333333334,0.10000000000000009
600707:b1_staged:3:20260616,600707,3,2026-06-16,2026-06-22,expiry,0.07732406602953956,12.4,0.3333333333333334,0.0,0.07732406602953956
600707:b1_staged:4:20260616,600707,4,2026-06-16,2026-06-17,take_profit,0.05,12.0855,0.3333333333333333,0.6666666666666667,0.050000000000000044
600707:b1_staged:4:20260616,600707,4,2026-06-16,2026-06-22,take_profit,0.1,12.661000000000001,0.3333333333333333,0.3333333333333334,0.10000000000000009
600707:b1_staged:4:20260616,600707,4,2026-06-16,2026-06-23,take_profit,0.15,13.2365,0.3333333333333334,0.0,0.1499999999999999
600707:b1_staged:5:20260616,600707,5,2026-06-16,2026-06-17,take_profit,0.05,12.0855,0.3333333333333333,0.6666666666666667,0.050000000000000044
