event_id,code,name,horizon,signal_date,entry_price,final_exit_date,status,exit_reason,net_return,win,max_intraday_drawdown,position_weighted_drawdown,take_profit_fill_count,stop_loss_triggered,remaining_fraction_at_expiry
600584:b1_staged:3:20260615,600584,600584,3,2026-06-15,74.32,2026-06-18,filled,take_profit,0.1,True,0.0,0.0,3,False,0.0
600584:b1_staged:4:20260615,600584,600584,4,2026-06-15,74.32,2026-06-18,filled,take_profit,0.1,True,0.0,0.0,3,False,0.0
600584:b1_staged:5:20260615,600584,600584,5,2026-06-15,74.32,2026-06-18,filled,take_profit,0.1,True,0.0,0.0,3,False,0.0
600601:b1_staged:1:20260612,600601,600601,1,2026-06-12,12.89,2026-06-15,filled,expiry,0.04344453064390996,True,-0.018619084561675714,-0.018619084561675714,0,False,1.0
600601:b1_staged:2:20260612,600601,600601,2,2026-06-12,12.89,2026-06-16,filled,expiry,0.08129040599948283,True,-0.018619084561675714,-0.018619084561675714,2,False,0.3333333333333334
600601:b1_staged:3:20260612,600601,600601,3,2026-06-12,12.89,2026-06-17,filled,take_profit,0.1,True,-0.018619084561675714,-0.018619084561675714,3,False,0.0
600601:b1_staged:4:20260612,600601,600601,4,2026-06-12,12.89,2026-06-17,filled,take_profit,0.1,True,-0.018619084561675714,-0.018619084561675714,3,False,0.0
600601:b1_staged:5:20260612,600601,600601,5,2026-06-12,12.89,2026-06-17,filled,take_profit,0.1,True,-0.018619084561675714,-0.018619084561675714,3,False,0.0
600707:b1_staged:1:20260604,600707,600707,1,2026-06-04,10.95,2026-06-05,filled,stop_loss,-0.05,False,-0.05022831050228305,-0.05022831050228305,0,True,0.0
600707:b1_staged:2:20260604,600707,600707,2,2026-06-04,10.95,2026-06-05,filled,stop_loss,-0.05,False,-0.05022831050228305,-0.05022831050228305,0,True,0.0
600707:b1_staged:3:20260604,600707,600707,3,2026-06-04,10.95,2026-06-05,filled,stop_loss,-0.05,False,-0.05022831050228305,-0.05022831050228305,0,True,0.0
600707:b1_staged:4:20260604,600707,600707,4,2026-06-04,10.95,2026-06-05,filled,stop_loss,-0.05,False,-0.05022831050228305,-0.05022831050228305,0,True,0.0
600707:b1_staged:5:20260604,600707,600707,5,2026-06-04,10.95,2026-06-05,filled,stop_loss,-0.05,False,-0.05022831050228305,-0.05022831050228305,0,True,0.0
600707:b1_staged:1:20260616,600707,600707,1,2026-06-16,11.51,2026-06-17,filled,expiry,0.08327541268462209,True,-0.01650738488271064,-0.01650738488271064,1,False,0.6666666666666667
600707:b1_staged:2:20260616,600707,600707,2,2026-06-16,11.51,2026-06-18,filled,expiry,0.028250796408919795,True,-0.01650738488271064,-0.01650738488271064,1,False,0.6666666666666667
600707:b1_staged:3:20260616,600707,600707,3,2026-06-16,11.51,2026-06-22,filled,expiry,0.0757746886765132,True,-0.01650738488271064,-0.01650738488271064,2,False,0.3333333333333334
600707:b1_staged:4:20260616,600707,600707,4,2026-06-16,11.51,2026-06-23,filled,take_profit,0.1,True,-0.01650738488271064,-0.01650738488271064,3,False,0.0
600707:b1_staged:5:20260616,600707,600707,5,2026-06-16,11.51,2026-06-23,filled,take_profit,0.1,True,-0.01650738488271064,-0.01650738488271064,3,False,0.0
601138:b1_staged:1:20260615,601138,601138,1,2026-06-15,73.4,2026-06-16,filled,expiry,-0.006811989100817484,False,-0.012261580381471515,-0.012261580381471515,0,False,1.0
601138:b1_staged:2:20260615,601138,601138,2,2026-06-15,73.4,2026-06-17,filled,expiry,-0.010354223433242549,False,-0.032697547683923744,-0.032697547683923744,0,False,1.0
601138:b1_staged:3:20260615,601138,601138,3,2026-06-15,73.4,2026-06-18,filled,expiry,0.059173478655767456,True,-0.032697547683923744,-0.032697547683923744,1,False,0.6666666666666667
601138:b1_staged:4:20260615,601138,601138,4,2026-06-15,73.4,2026-06-22,filled,expiry,0.06643960036330601,True,-0.032697547683923744,-0.032697547683923744,1,False,0.6666666666666667
601138:b1_staged:5:20260615,601138,601138,5,2026-06-15,73.4,2026-06-23,filled,expiry,0.023024523160762853,True,-0.032697547683923744,-0.032697547683923744,1,False,0.6666666666666667
601636:b1_staged:1:20260605,601636,601636,1,2026-06-05,7.03,2026-06-08,filled,expiry,-0.03556187766714081,False,-0.04125177809388336,-0.04125177809388336,0,False,1.0
601636:b1_staged:2:20260605,601636,601636,2,2026-06-05,7.03,2026-06-09,filled,stop_loss,-0.05,False,-0.073968705547653,-0.073968705547653,0,True,0.0
601636:b1_staged:3:20260605,601636,601636,3,2026-06-05,7.03,2026-06-09,filled,stop_loss,-0.05,False,-0.073968705547653,-0.073968705547653,0,True,0.0
601636:b1_staged:4:20260605,601636,601636,4,2026-06-05,7.03,2026-06-09,filled,stop_loss,-0.05,False,-0.073968705547653,-0.073968705547653,0,True,0.0
601636:b1_staged:5:20260605,601636,601636,5,2026-06-05,7.03,2026-06-09,filled,stop_loss,-0.05,False,-0.073968705547653,-0.073968705547653,0,True,0.0
603005:b1_staged:1:20260709,603005,603005,1,2026-07-09,45.19,2026-07-10,filled,expiry,-0.0013314155049052104,False,-0.026997123257357813,-0.026997123257357813,1,False,0.6666666666666667
603005:b1_staged:2:20260709,603005,603005,2,2026-07-09,45.19,2026-07-13,filled,stop_loss,-0.016666666666666673,False,-0.0927196282363354,-0.06181308549089027,1,True,0.0
