event_id,code,name,horizon,signal_date,buy_close,exit_date,exit_close,net_return,max_intraday_drawdown,max_close_drawdown,status
600601:b1_close:5:20260612,600601,600601,5,2026-06-12,12.89,2026-06-22,14.05,0.08999224204809941,-0.018619084561675714,0.0,filled
600707:b1_close:1:20260604,600707,600707,1,2026-06-04,10.95,2026-06-05,11.71,0.06940639269406401,-0.05022831050228305,0.0,filled
600707:b1_close:2:20260604,600707,600707,2,2026-06-04,10.95,2026-06-08,11.76,0.07397260273972606,-0.05022831050228305,0.0,filled
600707:b1_close:3:20260604,600707,600707,3,2026-06-04,10.95,2026-06-09,12.45,0.13698630136986312,-0.05022831050228305,0.0,filled
600707:b1_close:4:20260604,600707,600707,4,2026-06-04,10.95,2026-06-10,11.33,0.03470319634703212,-0.05022831050228305,0.0,filled
600707:b1_close:5:20260604,600707,600707,5,2026-06-04,10.95,2026-06-11,10.61,-0.031050228310502304,-0.05205479452054784,-0.031050228310502304,filled
600707:b1_close:1:20260616,600707,600707,1,2026-06-16,11.51,2026-06-17,12.66,0.09991311902693312,-0.01650738488271064,0.0,filled
600707:b1_close:2:20260616,600707,600707,2,2026-06-16,11.51,2026-06-18,11.71,0.017376194613379692,-0.01650738488271064,0.0,filled
600707:b1_close:3:20260616,600707,600707,3,2026-06-16,11.51,2026-06-22,12.4,0.07732406602953956,-0.01650738488271064,0.0,filled
600707:b1_close:4:20260616,600707,600707,4,2026-06-16,11.51,2026-06-23,13.64,0.18505647263249347,-0.01650738488271064,0.0,filled
600707:b1_close:5:20260616,600707,600707,5,2026-06-16,11.51,2026-06-24,13.53,0.17549956559513458,-0.01650738488271064,0.0,filled
601138:b1_close:1:20260615,601138,601138,1,2026-06-15,73.4,2026-06-16,72.9,-0.006811989100817484,-0.012261580381471515,-0.006811989100817484,filled
601138:b1_close:2:20260615,601138,601138,2,2026-06-15,73.4,2026-06-17,72.64,-0.010354223433242549,-0.032697547683923744,-0.010354223433242549,filled
601138:b1_close:3:20260615,601138,601138,3,2026-06-15,73.4,2026-06-18,78.08,0.06376021798365117,-0.032697547683923744,-0.010354223433242549,filled
601138:b1_close:4:20260615,601138,601138,4,2026-06-15,73.4,2026-06-22,78.88,0.07465940054495901,-0.032697547683923744,-0.010354223433242549,filled
601138:b1_close:5:20260615,601138,601138,5,2026-06-15,73.4,2026-06-23,74.1,0.009536784741144277,-0.032697547683923744,-0.010354223433242549,filled
601636:b1_close:1:20260605,601636,601636,1,2026-06-05,7.03,2026-06-08,6.78,-0.03556187766714081,-0.04125177809388336,-0.03556187766714081,filled
601636:b1_close:2:20260605,601636,601636,2,2026-06-05,7.03,2026-06-09,7.19,0.022759601706970223,-0.073968705547653,-0.03556187766714081,filled
601636:b1_close:3:20260605,601636,601636,3,2026-06-05,7.03,2026-06-10,6.6,-0.06116642958748231,-0.073968705547653,-0.06116642958748231,filled
601636:b1_close:4:20260605,601636,601636,4,2026-06-05,7.03,2026-06-11,6.63,-0.056899004267425335,-0.09530583214793742,-0.06116642958748231,filled
601636:b1_close:5:20260605,601636,601636,5,2026-06-05,7.03,2026-06-12,6.51,-0.073968705547653,-0.09957325746799428,-0.073968705547653,filled
603005:b1_close:1:20260709,603005,603005,1,2026-07-09,45.19,2026-07-10,43.97,-0.026997123257357813,-0.026997123257357813,-0.026997123257357813,filled
603005:b1_close:2:20260709,603005,603005,2,2026-07-09,45.19,2026-07-13,41.18,-0.08873644611639742,-0.0927196282363354,-0.08873644611639742,filled
603005:b1_close:3:20260709,603005,603005,3,2026-07-09,45.19,2026-07-14,40.36,-0.10688205355167069,-0.15534410267758347,-0.10688205355167069,filled
603005:b1_close:4:20260709,603005,603005,4,2026-07-09,45.19,2026-07-15,37.0,-0.18123478645718072,-0.18831599911484842,-0.18123478645718072,filled
603005:b1_close:5:20260709,603005,603005,5,2026-07-09,45.19,,,,,,insufficient_history
603019:b1_close:1:20260708,603019,603019,1,2026-07-08,98.15,2026-07-09,103.99,0.05950076413652572,-0.0200713194090677,0.0,filled
603019:b1_close:2:20260708,603019,603019,2,2026-07-08,98.15,2026-07-10,107.5,0.09526235354049928,-0.0200713194090677,0.0,filled
603019:b1_close:3:20260708,603019,603019,3,2026-07-08,98.15,2026-07-13,106.13,0.08130412633723871,-0.0200713194090677,0.0,filled
603019:b1_close:4:20260708,603019,603019,4,2026-07-08,98.15,2026-07-14,101.9,0.03820682628629646,-0.025369332654100907,0.0,filled
603019:b1_close:5:20260708,603019,603019,5,2026-07-08,98.15,2026-07-15,96.76,-0.01416199694345388,-0.025369332654100907,-0.01416199694345388,filled
603228:b1_close:1:20260610,603228,603228,1,2026-06-10,75.34,2026-06-11,75.8,0.00610565436687005,-0.023626227767454266,0.0,filled
603228:b1_close:2:20260610,603228,603228,2,2026-06-10,75.34,2026-06-12,73.1,-0.02973188213432454,-0.02973188213432454,-0.02973188213432454,filled
603228:b1_close:3:20260610,603228,603228,3,2026-06-10,75.34,2026-06-15,79.48,0.054950889301831785,-0.02973188213432454,-0.02973188213432454,filled
603228:b1_close:4:20260610,603228,603228,4,2026-06-10,75.34,2026-06-16,78.15,0.037297584284576635,-0.02973188213432454,-0.02973188213432454,filled
603228:b1_close:5:20260610,603228,603228,5,2026-06-10,75.34,2026-06-17,80.76,0.07194053623573127,-0.02973188213432454,-0.02973188213432454,filled
603228:b1_close:1:20260625,603228,603228,1,2026-06-25,77.63,2026-06-26,72.63,-0.06440808965606082,-0.07484220018034271,-0.06440808965606082,filled
603228:b1_close:2:20260625,603228,603228,2,2026-06-25,77.63,2026-06-29,68.59,-0.1164498260981578,-0.13693159860878523,-0.1164498260981578,filled
603228:b1_close:3:20260625,603228,603228,3,2026-06-25,77.63,2026-06-30,72.41,-0.0672420456009275,-0.13693159860878523,-0.1164498260981578,filled
603228:b1_close:4:20260625,603228,603228,4,2026-06-25,77.63,2026-07-01,68.21,-0.12134484091201858,-0.13693159860878523,-0.12134484091201858,filled
603228:b1_close:5:20260625,603228,603228,5,2026-06-25,77.63,2026-07-02,66.17,-0.14762334149169132,-0.1755764524024217,-0.14762334149169132,filled
603267:b1_close:1:20260616,603267,603267,1,2026-06-16,72.23,2026-06-17,75.0,0.038349716184410854,-0.012183303336563922,0.0,filled
603267:b1_close:2:20260616,603267,603267,2,2026-06-16,72.23,2026-06-18,76.37,0.05731690433337944,-0.012183303336563922,0.0,filled
603267:b1_close:3:20260616,603267,603267,3,2026-06-16,72.23,2026-06-22,75.63,0.04707185380035983,-0.012183303336563922,0.0,filled
603267:b1_close:4:20260616,603267,603267,4,2026-06-16,72.23,2026-06-23,71.96,-0.0037380589782640694,-0.02256680049840798,-0.0037380589782640694,filled
603267:b1_close:5:20260616,603267,603267,5,2026-06-16,72.23,2026-06-24,76.0,0.052194379066869745,-0.02256680049840798,-0.0037380589782640694,filled
603650:b1_close:1:20260709,603650,603650,1,2026-07-09,89.56,2026-07-10,82.75,-0.07603841000446632,-0.07815989280928981,-0.07603841000446632,filled
603650:b1_close:2:20260709,603650,603650,2,2026-07-09,89.56,2026-07-13,79.62,-0.11098704778919155,-0.1146717284502009,-0.11098704778919155,filled
603650:b1_close:3:20260709,603650,603650,3,2026-07-09,89.56,2026-07-14,78.89,-0.1191380080393033,-0.16491737382760152,-0.1191380080393033,filled
603650:b1_close:4:20260709,603650,603650,4,2026-07-09,89.56,2026-07-15,74.45,-0.16871371147833858,-0.1758597588209022,-0.16871371147833858,filled
603650:b1_close:5:20260709,603650,603650,5,2026-07-09,89.56,,,,,,insufficient_history
603688:b1_close:1:20260605,603688,603688,1,2026-06-05,69.49,2026-06-08,67.93,-0.022449273276730297,-0.07252842135559068,-0.022449273276730297,filled
603688:b1_close:2:20260605,603688,603688,2,2026-06-05,69.49,2026-06-09,74.72,0.07526262771621828,-0.07252842135559068,-0.022449273276730297,filled
603688:b1_close:3:20260605,603688,603688,3,2026-06-05,69.49,2026-06-10,73.31,0.0549719384084042,-0.07252842135559068,-0.022449273276730297,filled
603688:b1_close:4:20260605,603688,603688,4,2026-06-05,69.49,2026-06-11,76.15,0.09584112821988788,-0.07252842135559068,-0.022449273276730297,filled
603688:b1_close:5:20260605,603688,603688,5,2026-06-05,69.49,2026-06-12,70.89,0.020146783709886318,-0.07252842135559068,-0.022449273276730297,filled
603986:b1_close:1:20260709,603986,603986,1,2026-07-09,663.49,2026-07-10,612.0,-0.07760478680914562,-0.0848694027038841,-0.07760478680914562,filled
603986:b1_close:2:20260709,603986,603986,2,2026-07-09,663.49,2026-07-13,550.8,-0.16984430812823115,-0.16984430812823115,-0.16984430812823115,filled
603986:b1_close:3:20260709,603986,603986,3,2026-07-09,663.49,2026-07-14,583.99,-0.11982094681155708,-0.19429079564123042,-0.16984430812823115,filled
603986:b1_close:4:20260709,603986,603986,4,2026-07-09,663.49,2026-07-15,571.79,-0.13820856380653823,-0.19429079564123042,-0.16984430812823115,filled
603986:b1_close:5:20260709,603986,603986,5,2026-07-09,663.49,,,,,,insufficient_history
688003:b1_close:1:20260603,688003,688003,1,2026-06-03,111.31,2026-06-04,107.9,-0.03063516305812597,-0.05219656814302398,-0.03063516305812597,filled
688003:b1_close:2:20260603,688003,688003,2,2026-06-03,111.31,2026-06-05,105.0,-0.056688527535711075,-0.07573443536070434,-0.056688527535711075,filled
688003:b1_close:3:20260603,688003,688003,3,2026-06-03,111.31,2026-06-08,110.38,-0.008355044470398032,-0.12658341568592224,-0.056688527535711075,filled
688003:b1_close:4:20260603,688003,688003,4,2026-06-03,111.31,2026-06-09,101.3,-0.08992902704159556,-0.12658341568592224,-0.08992902704159556,filled
688003:b1_close:5:20260603,688003,688003,5,2026-06-03,111.31,2026-06-10,98.52,-0.11490432126493577,-0.17078429610996326,-0.11490432126493577,filled
688003:b1_close:1:20260612,688003,688003,1,2026-06-12,105.49,2026-06-15,108.6,0.02948146743767177,-0.023414541662716837,0.0,filled
688003:b1_close:2:20260612,688003,688003,2,2026-06-12,105.49,2026-06-16,109.36,0.03668594179543083,-0.023414541662716837,0.0,filled
