pool,mode,analysis_end,total_net_return,max_drawdown_5m,max_drawdown_low,average_exposure,closed_trades,open_trades,win_rate,profit_factor,max_consecutive_losses,take_profit_trade_rate,stop_exit_rate
ai_semiconductor,canonical_1_3,2026-07-17,-0.0055699811,-0.1883116780,-0.1883116780,0.4663462185,16,0,0.5000000000,0.9821970587,5,0.3750000000,0.5000000000
ai_semiconductor,risk_1_4,2026-07-17,0.0071951726,-0.1378574726,-0.1378574726,0.3475172719,16,0,0.5000000000,1.0328945410,5,0.3750000000,0.5000000000
innovative_drug_931440,canonical_1_3,2026-07-17,0.0994062820,-0.0454216522,-0.0470486603,0.1439053687,3,1,1.0000000000,inf,0,0.6666666667,0.0000000000
innovative_drug_931440,risk_1_4,2026-07-17,0.0746391007,-0.0408898483,-0.0417592684,0.1113384964,3,1,1.0000000000,inf,0,0.6666666667,0.0000000000
battery_931719,canonical_1_3,2026-07-17,-0.1294135283,-0.1601132447,-0.1616793693,0.3589053730,12,0,0.3333333333,0.3614353955,5,0.3333333333,0.5833333333
battery_931719,risk_1_4,2026-07-17,-0.0989898862,-0.1216722866,-0.1228754805,0.2676845326,12,0,0.3333333333,0.3620660006,5,0.3333333333,0.5833333333
humanoid_robot_proxy_980022,canonical_1_3,2026-07-17,0.0936845830,-0.1225374489,-0.1225374489,0.2741928710,7,1,0.5714285714,2.7934259679,1,0.5714285714,0.1428571429
humanoid_robot_proxy_980022,risk_1_4,2026-07-17,0.0780552720,-0.0948044391,-0.0948044391,0.2112685445,7,1,0.5714285714,2.9595451508,1,0.5714285714,0.1428571429
