"timing","stop","horizon","event_count","mean_net_return","median_net_return","win_rate","mean_intraday_drawdown","worst_intraday_drawdown","mean_position_weighted_drawdown","worst_position_weighted_drawdown","stop_loss_rate","expiry_exit_rate"
"next_open","atr","5","74","0.0205468451941048","0.0439141373588138","0.621621621621622","-0.0684668417038076","-0.309002267573696","-0.0623575162919283","-0.206001511715797","0.324324324324324","0.540540540540541"
"next_open","atr","10","70","0.0327919374368822","0.0661796612542839","0.642857142857143","-0.0710243625586027","-0.309002267573696","-0.0633253677739099","-0.206001511715797","0.357142857142857","0.214285714285714"
"next_open","atr","15","66","0.0314560776070903","0.0658435679797448","0.606060606060606","-0.0721321458073497","-0.309002267573696","-0.0635634881640587","-0.206001511715797","0.393939393939394","0.0909090909090909"
"next_open","atr","20","46","0.00964572237018298","0.0172573964070848","0.5","-0.0889565504918644","-0.309002267573696","-0.0796095179666485","-0.206001511715797","0.478260869565217","0.0217391304347826"
"next_open","sl6","5","74","0.0187681384494018","0.00201041364913443","0.5","-0.0567538292946157","-0.309002267573696","-0.0508174928173878","-0.206001511715797","0.5","0.391891891891892"
"next_open","sl6","10","70","0.026714759835165","-0.00512820512820515","0.5","-0.0576274482427176","-0.309002267573696","-0.0507264994605291","-0.206001511715797","0.514285714285714","0.157142857142857"
"next_open","sl6","15","66","0.0255913232362918","-0.02","0.46969696969697","-0.0590668211217223","-0.309002267573696","-0.0513676342059188","-0.206001511715797","0.545454545454545","0.0454545454545455"
"next_open","sl6","20","46","-0.00174666463665089","-0.04","0.304347826086957","-0.0724357257518715","-0.309002267573696","-0.0635945027399222","-0.206001511715797","0.695652173913043","0.0217391304347826"
"same_close","atr","5","74","0.0205468451941048","0.0439141373588138","0.621621621621622","-0.0684668417038076","-0.309002267573696","-0.0623575162919283","-0.206001511715797","0.324324324324324","0.540540540540541"
"same_close","atr","10","70","0.0327586890715935","0.0661796612542839","0.642857142857143","-0.0710243625586027","-0.309002267573696","-0.0633253677739099","-0.206001511715797","0.357142857142857","0.214285714285714"
"same_close","atr","15","66","0.0314208141893599","0.0658435679797448","0.606060606060606","-0.0721321458073497","-0.309002267573696","-0.0635634881640587","-0.206001511715797","0.393939393939394","0.0909090909090909"
"same_close","atr","20","46","0.00959512703170017","0.0172573964070848","0.5","-0.0889565504918644","-0.309002267573696","-0.0796095179666485","-0.206001511715797","0.478260869565217","0.0217391304347826"
"same_close","sl6","5","74","0.0187681384494018","0.00201041364913443","0.5","-0.0567538292946157","-0.309002267573696","-0.0508174928173878","-0.206001511715797","0.5","0.391891891891892"
"same_close","sl6","10","70","0.0266815114698763","-0.00512820512820515","0.5","-0.0576274482427176","-0.309002267573696","-0.0507264994605291","-0.206001511715797","0.514285714285714","0.157142857142857"
"same_close","sl6","15","66","0.0255560598185613","-0.02","0.46969696969697","-0.0590668211217223","-0.309002267573696","-0.0513676342059188","-0.206001511715797","0.545454545454545","0.0454545454545455"
"same_close","sl6","20","46","-0.00179725997513371","-0.04","0.304347826086957","-0.0724357257518715","-0.309002267573696","-0.0635945027399222","-0.206001511715797","0.695652173913043","0.0217391304347826"
