"window","timing","stop","residual_dd","horizon","event_count","mean_net_return","median_net_return","win_rate","mean_intraday_drawdown","worst_intraday_drawdown","mean_position_weighted_drawdown","worst_position_weighted_drawdown","mean_take_profit_fill_count","stop_loss_rate","expiry_exit_rate"
"202606","next_open","atr","dd10","1","70","0.0108948678740587","0.00940517765925497","0.614285714285714","-0.0316651612733667","-0.0937781785392247","-0.0316651612733667","-0.0937781785392247","0.342857142857143","0","1"
"202606","next_open","atr","dd10","2","70","0.0151046211072148","0.0226618521355364","0.6","-0.046136022071504","-0.157411957411957","-0.0458018889464751","-0.157411957411957","0.671428571428571","0.0857142857142857","0.914285714285714"
"202606","next_open","atr","dd10","3","69","0.0161733887247604","0.0513812358669066","0.594202898550725","-0.0580127627612419","-0.157411957411957","-0.0557946590311497","-0.157411957411957","0.884057971014493","0.27536231884058","0.710144927536232"
"202606","next_open","atr","dd10","4","68","0.0243227677957268","0.0487512476494866","0.632352941176471","-0.0602538512504538","-0.157411957411957","-0.0563885029298635","-0.157411957411957","1.10294117647059","0.264705882352941","0.691176470588235"
"202606","next_open","atr","dd10","5","67","0.0239894550382029","0.0493667362560891","0.641791044776119","-0.0656512300273017","-0.309002267573696","-0.0597155843636037","-0.206001511715797","1.13432835820896","0.313432835820896","0.567164179104478"
"202606","next_open","atr","dd8","1","70","0.0104590130424015","0.00940517765925497","0.614285714285714","-0.0316651612733667","-0.0937781785392247","-0.0316651612733667","-0.0937781785392247","0.342857142857143","0","0.985714285714286"
"202606","next_open","atr","dd8","2","70","0.0146311485466412","0.0226618521355364","0.6","-0.046136022071504","-0.157411957411957","-0.0458018889464751","-0.157411957411957","0.671428571428571","0.0857142857142857","0.9"
"202606","next_open","atr","dd8","3","69","0.0137534610722074","0.0507228347940816","0.594202898550725","-0.0580127627612419","-0.157411957411957","-0.0557946590311497","-0.157411957411957","0.884057971014493","0.27536231884058","0.623188405797101"
"202606","next_open","atr","dd8","4","68","0.0218499180551751","0.0487512476494866","0.632352941176471","-0.0598134803364157","-0.157411957411957","-0.0563885029298635","-0.157411957411957","1.10294117647059","0.264705882352941","0.588235294117647"
"202606","next_open","atr","dd8","5","67","0.0199085342139082","0.0493667362560891","0.641791044776119","-0.0651770254575575","-0.309002267573696","-0.0597155843636037","-0.206001511715797","1.13432835820896","0.313432835820896","0.432835820895522"
